dish_name
soup
chicken on mixed greens
cauliflower bites
soup of the day
chicken salad
leo
chicken salad scoop
shrimp salad wrap
chicken salad wrap
italian salad
seasame
health watch
tender
everything
vegetable
muffin
french toast
fried oreo madness
peanut butter
buttermilk pancakes
vegetable cold sub
toss salad
egg salad scoop
breakfast flatbread
egg salad sub
